make,model,bodyType,numberOfTrimlines,image,referenceVehicle,offerings,states,hasUsed,hasWltp
Ford,Transit Courier,Fourgon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 229, 'originalPriceIncVat': 229, 'discountedPrice': 229, 'discountedPriceIncVat': 229, 'defaultWithVat': False, 'isCommercial': True, 'currency': 'EUR', 'stock': 0, 'offerings': ['Offres spéciales VU'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Gris Cactus', 'carColorCombinationId': 'pspc0349', 'hexCode': 'a4bab4', 'baseColor': 'vert'}, {'title': 'Noir Agate', 'carColorCombinationId': 'pspc0078', 'hexCode': 'b0b3b7', 'baseColor': 'gris'}, {'title': 'Blanc Glacier', 'carColorCombinationId': 'pspc0101', 'hexCode': 'f7f7f7', 'baseColor': 'blanc'}, {'title': 'Gris Solar', 'carColorCombinationId': 'pspc0054', 'hexCode': 'c7cbcb', 'baseColor': 'gris'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 3, 'energyLabelLocal': 'D', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Fourgon', 'bodyTypeOriginal': 'Van', 'videos': [], 'imaginKey': '?make=ford&modelFamily=transit-courier&modelRange=transit-courier&modelVariant=cv&modelYear=2024&powerTrain=electric&transmission=0&bodySize=4&trim=eu', 'totalLeasePriceExcVat': 13992, 'totalLeasePriceIncVat': 13992, 'isUsed': False, 'vehicleType': 'Configurable', 'state': 'New', 'vehicleSource': 'Default', 'co2': 148, 'isRemarketing': False, 'id': '163582', 'make': 'Ford', 'model': 'Transit Courier', 'trimline': '1.0 EcoBoost 100ch Ambiente', 'isConfigurable': True, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Offres spéciales VU', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Peugeot,208,Autre,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 249, 'originalPriceIncVat': 249, 'discountedPrice': 249, 'discountedPriceIncVat': 249, 'defaultWithVat': False, 'isCommercial': True, 'currency': 'EUR', 'stock': 0, 'offerings': ['Offres spéciales VU'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Noir', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Blanc', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Autre', 'bodyTypeOriginal': 'Other', 'videos': [], 'imaginKey': '?make=peugeot&modelFamily=208&modelRange=208&modelVariant=ha&modelYear=2024&powerTrain=electric&transmission=0&bodySize=5&trim=active', 'totalLeasePriceExcVat': 14952, 'totalLeasePriceIncVat': 14952, 'isUsed': False, 'vehicleType': 'Configurable', 'power': '100.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 118, 'isRemarketing': False, 'id': '152901', 'make': 'Peugeot', 'model': '208', 'trimline': 'Business R II 1.2 100ch S&S', 'isConfigurable': True, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Offres spéciales VU', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Ford,Transit Custom L1h1 280,Fourgon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 329, 'originalPriceIncVat': 329, 'discountedPrice': 329, 'discountedPriceIncVat': 329, 'defaultWithVat': False, 'isCommercial': True, 'currency': 'EUR', 'stock': 0, 'offerings': ['Offres spéciales VU'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Blanc Glacier', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}, {'title': 'Noir Agate', 'carColorCombinationId': 'pspc0006sspc0004', 'hexCode': '4b5159', 'baseColor': 'noir'}, {'title': 'Gris Magnétique', 'carColorCombinationId': 'pspc0055', 'hexCode': 'b4bcbe', 'baseColor': 'bleu'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 2, 'energyLabelLocal': 'E', 'fuelTypeLocal': 'Diesel', 'fuelTypeOriginal': 'Diesel', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Fourgon', 'bodyTypeOriginal': 'Van', 'videos': [], 'imaginKey': '?make=ford&modelFamily=transit-custom&modelRange=transit-custom&modelVariant=pv&modelYear=2023&powerTrain=hybrid&transmission=0&bodySize=4&trim=eu', 'totalLeasePriceExcVat': 18792, 'totalLeasePriceIncVat': 18792, 'isUsed': False, 'vehicleType': 'Configurable', 'power': '110.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 184, 'isRemarketing': False, 'id': '163637', 'make': 'Ford', 'model': 'Transit Custom L1h1 280', 'trimline': '2.0 EcoBlue 110 ch BVM6 Ambiente', 'isConfigurable': True, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Offres spéciales VU', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Kia,Ceed,Berline à hayon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 329, 'originalPriceIncVat': 329, 'discountedPrice': 329, 'discountedPriceIncVat': 329, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Noir Basalte', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Blanc', 'carColorCombinationId': 'pspc0259', 'hexCode': 'e9e9e8', 'baseColor': 'blanc'}, {'title': 'Gris', 'carColorCombinationId': 'pspc0283', 'hexCode': 'b7babe', 'baseColor': 'gris'}, {'title': 'Vert Bornéo', 'carColorCombinationId': 'pspc0191', 'hexCode': 'b2b9a4', 'baseColor': 'vert'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'C', 'fuelTypeLocal': 'Essence', 'fuelTypeOriginal': 'Petrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Berline à hayon', 'bodyTypeOriginal': 'Hatchback', 'videos': [], 'imaginKey': '?make=kia&modelFamily=ceed&modelRange=ceed&modelVariant=ha&modelYear=2022&powerTrain=petrol&transmission=0&bodySize=5&trim=eu', 'totalLeasePriceExcVat': 18792, 'totalLeasePriceIncVat': 18792, 'isUsed': False, 'vehicleType': 'PreConfigured', 'state': 'New', 'vehicleSource': 'Default', 'co2': 127, 'isRemarketing': False, 'id': '161382', 'make': 'Kia', 'model': 'Ceed', 'trimline': '1.0 T-GDi Active Business BVM6 4x2', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Renault,Trafic Van,Fourgon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 369, 'originalPriceIncVat': 369, 'discountedPrice': 369, 'discountedPriceIncVat': 369, 'defaultWithVat': False, 'isCommercial': True, 'currency': 'EUR', 'stock': 0, 'offerings': ['Offres spéciales VU'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Blanc Glacier', 'carColorCombinationId': 'pspc0101', 'hexCode': 'f7f7f7', 'baseColor': 'blanc'}, {'title': 'Gris Urbain', 'carColorCombinationId': 'pspc0082', 'hexCode': 'b3b6b0', 'baseColor': 'gris'}, {'title': 'Noir Crépuscule', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 2, 'energyLabelLocal': 'E', 'fuelTypeLocal': 'Diesel', 'fuelTypeOriginal': 'Diesel', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'Fourgon', 'bodyTypeOriginal': 'Van', 'videos': [], 'imaginKey': '?make=renault&modelFamily=trafic&modelRange=trafic&modelVariant=pv&modelYear=2024&powerTrain=electric&transmission=0&bodySize=l2h1&trim=eu', 'totalLeasePriceExcVat': 20712, 'totalLeasePriceIncVat': 20712, 'isUsed': False, 'vehicleType': 'Configurable', 'power': '110.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 182, 'isRemarketing': False, 'id': '163636', 'make': 'Renault', 'model': 'Trafic Van', 'trimline': 'Fourgon L1H1 3T Advance Blue dCi 110', 'isConfigurable': True, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Offres spéciales VU', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Renault,R5,Berline à hayon,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 389, 'originalPriceIncVat': 389, 'discountedPrice': 389, 'discountedPriceIncVat': 389, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Jaune Pop', 'carColorCombinationId': 'pspc0220sspc0004', 'hexCode': 'e3d374', 'baseColor': 'jaune'}, {'title': 'Vert Pop', 'carColorCombinationId': 'pspc0325', 'hexCode': '8bc992', 'baseColor': 'vert'}, {'title': 'Noir', 'carColorCombinationId': 'pspc0004', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Blanc', 'carColorCombinationId': 'pspc0099sspc0004', 'hexCode': 'f7f6f6', 'baseColor': 'argent'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'A', 'fuelTypeLocal': 'Électrique', 'fuelTypeOriginal': 'Electric', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'Berline à hayon', 'bodyTypeOriginal': 'Hatchback', 'videos': [], 'imaginKey': '?make=renault&modelFamily=r5&modelRange=r5&modelYear=0&transmission=0', 'totalLeasePriceExcVat': 21672, 'totalLeasePriceIncVat': 21672, 'isUsed': False, 'vehicleType': 'PreConfigured', 'state': 'New', 'vehicleSource': 'Default', 'isRemarketing': False, 'id': '169044', 'make': 'Renault', 'model': 'R5', 'trimline': 'E-Tech Electrique 120ch Evolution autonomie urbaine', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Hyundai,Tucson,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 399, 'originalPriceIncVat': 399, 'discountedPrice': 399, 'discountedPriceIncVat': 399, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Ultimate red', 'carColorCombinationId': 'pspc0214', 'hexCode': 'a95f5e', 'baseColor': 'rouge'}, {'title': 'Abyss Black', 'carColorCombinationId': 'pspc0234', 'hexCode': '505877', 'baseColor': 'bleu'}, {'title': 'Ecotronic gray', 'carColorCombinationId': 'pspc0023', 'hexCode': '95a5ac', 'baseColor': 'bleu'}, {'title': 'Serenity White', 'carColorCombinationId': 'pspc0041sspc0129', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}, {'title': 'Shimmering Silver', 'carColorCombinationId': 'pspc0056sspc0209', 'hexCode': 'f4f6f7', 'baseColor': 'argent'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'C', 'fuelTypeLocal': 'Hybride Essence', 'fuelTypeOriginal': 'HybridPetrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'engineDisplacement': 1598, 'videos': [], 'imaginKey': '?make=hyundai&modelFamily=tucson&modelRange=tucson&modelVariant=od&modelYear=2024&powerTrain=hybrid&transmission=0&bodySize=5&trim=eu', 'totalLeasePriceExcVat': 22152, 'totalLeasePriceIncVat': 22152, 'isUsed': False, 'vehicleType': 'PreConfigured', 'motorPower': '215.00', 'state': 'New', 'vehicleSource': 'Default', 'co2': 129, 'isRemarketing': False, 'id': '160195', 'make': 'Hyundai', 'model': 'Tucson', 'trimline': 'Intuitive 1.6 T-GDI 215ch Hybrid BVA6', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Smart,#1,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 399, 'originalPriceIncVat': 399, 'discountedPrice': 399, 'discountedPriceIncVat': 399, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Gris Cyber', 'carColorCombinationId': 'pspc0388sspc0004', 'hexCode': 'cfccca', 'baseColor': 'gris'}, {'title': 'Rouge Laser', 'carColorCombinationId': 'pspc0138sspc0004', 'hexCode': 'f36a57', 'baseColor': 'rouge'}, {'title': 'Noir Carbone', 'carColorCombinationId': 'pspc0004sspc0058', 'hexCode': '545453', 'baseColor': 'noir'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'A', 'fuelTypeLocal': 'Électrique', 'fuelTypeOriginal': 'Electric', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'videos': [], 'totalLeasePriceExcVat': 22152, 'totalLeasePriceIncVat': 22152, 'isUsed': False, 'vehicleType': 'PreConfigured', 'state': 'New', 'vehicleSource': 'Default', 'isRemarketing': False, 'id': '163283', 'make': 'Smart', 'model': '#1', 'trimline': '272ch 49kWh 7,4kW Pure', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Ford,Kuga,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 429, 'originalPriceIncVat': 429, 'discountedPrice': 429, 'discountedPriceIncVat': 429, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Gris Solar', 'carColorCombinationId': 'pspc0054', 'hexCode': 'c7cbcb', 'baseColor': 'gris'}, {'title': 'Bleu Island', 'carColorCombinationId': 'pspc0188', 'hexCode': '648bbf', 'baseColor': 'bleu'}, {'title': 'Blanc Glacier', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}, {'title': 'Vert Bursting', 'carColorCombinationId': 'pspc0325', 'hexCode': '8bc992', 'baseColor': 'vert'}, {'title': 'Noir Agate', 'carColorCombinationId': 'pspc0078', 'hexCode': 'b0b3b7', 'baseColor': 'gris'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'B', 'fuelTypeLocal': 'Hybride Essence', 'fuelTypeOriginal': 'HybridPetrol', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'videos': [], 'imaginKey': '?make=ford&modelFamily=kuga&modelRange=kuga&modelVariant=od&modelYear=2025&powerTrain=hybrid&transmission=0&bodySize=5&trim=eu', 'totalLeasePriceExcVat': 23592, 'totalLeasePriceIncVat': 23592, 'isUsed': False, 'vehicleType': 'PreConfigured', 'state': 'New', 'vehicleSource': 'Default', 'isRemarketing': False, 'id': '162954', 'make': 'Ford', 'model': 'Kuga', 'trimline': '2.5 Duratec 180ch Hybrid FlexiFuel E85 Titanium Powershift', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Volvo,EX30,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 429, 'originalPriceIncVat': 429, 'discountedPrice': 429, 'discountedPriceIncVat': 429, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Noir onyx', 'carColorCombinationId': 'pspc0004sspc0112', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Gris Brume', 'carColorCombinationId': 'pspc0145', 'hexCode': 'c1c5ca', 'baseColor': 'gris'}, {'title': 'Blanc Cristal', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}, {'title': 'Bleu nuage', 'carColorCombinationId': 'pspc0223sspc0004', 'hexCode': 'cfd8df', 'baseColor': 'bleu'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'A', 'fuelTypeLocal': 'Électrique', 'fuelTypeOriginal': 'Electric', 'transmissionType': 'Automatique', 'transmissionTypeOriginal': 'Automatic', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'videos': [], 'totalLeasePriceExcVat': 23592, 'totalLeasePriceIncVat': 23592, 'isUsed': False, 'vehicleType': 'PreConfigured', 'wltpRange': '337', 'state': 'New', 'vehicleSource': 'Default', 'isRemarketing': False, 'id': '150534', 'make': 'Volvo', 'model': 'EX30', 'trimline': 'Single Start', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
Renault,Austral,SUV,1,{'options': {'isStretched': False}},"{'duration': 48, 'mileage': 15000, 'originalPrice': 449, 'originalPriceIncVat': 449, 'discountedPrice': 449, 'discountedPriceIncVat': 449, 'defaultWithVat': True, 'isCommercial': False, 'currency': 'EUR', 'stock': 0, 'offerings': ['Meilleures offres'], 'image': {'options': {'isStretched': False}}, 'source': 'Tentacle', 'colors': [{'title': 'Bleu Iron', 'carColorCombinationId': 'pspc0047sspc0004', 'hexCode': '7fa3da', 'baseColor': 'bleu'}, {'title': 'Rouge Flamme', 'carColorCombinationId': 'pspc0033', 'hexCode': 'c25659', 'baseColor': 'rouge'}, {'title': 'Gris Schiste', 'carColorCombinationId': 'pspc0202', 'hexCode': 'b8bdbe', 'baseColor': 'gris'}, {'title': 'Noir Etoilé', 'carColorCombinationId': 'pspc0004sspc0112', 'hexCode': '545453', 'baseColor': 'noir'}, {'title': 'Blanc Nacré', 'carColorCombinationId': 'pspc0041', 'hexCode': 'f7f7f7', 'baseColor': 'gris'}], 'year': 0, 'carReservationEnabled': False, 'numberOfDoors': 5, 'energyLabelLocal': 'C', 'fuelTypeLocal': 'Hybride Essence', 'fuelTypeOriginal': 'HybridPetrol', 'transmissionType': 'Manuelle', 'transmissionTypeOriginal': 'Manual', 'drivenMileage': 0, 'bodyType': 'SUV', 'bodyTypeOriginal': 'SUV', 'engineDisplacement': 1199, 'videos': [], 'totalLeasePriceExcVat': 24552, 'totalLeasePriceIncVat': 24552, 'isUsed': False, 'vehicleType': 'PreConfigured', 'power': '130.0', 'state': 'New', 'vehicleSource': 'Default', 'co2': 121, 'isRemarketing': False, 'id': '162955', 'make': 'Renault', 'model': 'Austral', 'trimline': '1.2 TCe Mild Hybrid Advanced 130ch Evolution', 'isConfigurable': False, 'segments': ['Business'], 'isCategory': False, 'categoryVehicleImages': []}","[{'offering': 'Meilleures offres', 'count': 1}]","[{'state': 'New', 'count': 1}]",False,True
